"","x"
"555","BRCA2"
"556","BRCA2"
"557","BRCA2"
"558","BRCA2"
"559","BRCA2"
"560","BRCA2"
"561","BRCA2"
"562","BRCA2"
"563","BRCA2"
"564","BRCA2"
"565","BRCA2"
"566","BRCA2"
"567","BRCA2"
"568","BRCA2"
"569","BRCA2"
"570","BRCA2"
"571","BRCA2"
"572","BRCA2"
"573","BRCA2"
"574","BRCA2"
"575","BRCA2"
"576","BRCA2"
"577","BRCA2"
"578","BRCA2"
"579","BRCA2"
"580","BRCA2"
"581","BRCA2"
"582","BRCA2"
"583","BRCA2"
"584","BRCA2"
"585","BRCA2"
"586","BRCA2"
"587","BRCA2"
"588","BRCA2"
"589","BRCA2"
"590","BRCA2"
"591","BRCA2"
"592","BRCA2"
"593","BRCA2"
"594","BRCA2"
"595","BRCA2"
"596","BRCA2"
"597","BRCA2"
"598","BRCA2"
"599","BRCA2"
"600","BRCA2"
"601","BRCA2"
"602","BRCA2"
"603","BRCA2"
"604","BRCA2"
"605","BRCA2"
"606","BRCA2"
"607","BRCA2"
"608","BRCA2"
"609","BRCA2"
"610","BRCA2"
"611","BRCA2"
"612","BRCA2"
"613","BRCA2"
"614","BRCA2"
"615","BRCA2"
"616","BRCA2"
"617","BRCA2"
"618","BRCA2"
"619","BRCA2"
"620","BRCA2"
"621","BRCA2"
"622","BRCA2"
"623","BRCA2"
"624","BRCA2"
"625","BRCA2"
"626","BRCA2"
"627","BRCA2"
"628","BRCA2"
"629","BRCA2"
"630","BRCA2"
"631","BRCA2"
"632","BRCA2"
"633","BRCA2"
"634","BRCA2"
"635","BRCA2"
"636","BRCA2"
"637","BRCA2"
"638","BRCA2"
"639","BRCA2"
"640","BRCA2"
"641","BRCA2"
"642","BRCA2"
"643","BRCA2"
"644","BRCA2"
"645","BRCA2"
"646","BRCA2"
"647","BRCA2"
"648","BRCA2"
"649","BRCA2"
"650","BRCA2"
"651","BRCA2"
"652","BRCA2"
"653","BRCA2"
"654","BRCA2"
"655","BRCA2"
"656","BRCA2"
"657","BRCA2"
"658","BRCA2"
"659","BRCA2"
"660","BRCA2"
"661","BRCA2"
"662","BRCA2"
"663","BRCA2"
"664","BRCA2"
"665","BRCA2"
"666","BRCA2"
"667","BRCA2"
"668","BRCA2"
"669","BRCA2"
"670","BRCA2"
"671","BRCA2"
"672","BRCA2"
"673","BRCA2"
"674","BRCA2"
"675","BRCA2"
"676","BRCA2"
"677","BRCA2"
"678","BRCA2"
"679","BRCA2"
"680","BRCA2"
"681","BRCA2"
"682","BRCA2"
"683","BRCA2"
"684","BRCA2"
"685","BRCA2"
"686","BRCA2"
"687","BRCA2"
"688","BRCA2"
"689","BRCA2"
"690","BRCA2"
"691","BRCA2"
"692","BRCA2"
"693","BRCA2"
"694","BRCA2"
"695","BRCA2"
"696","BRCA2"
"697","BRCA2"
"698","BRCA2"
"699","BRCA2"
"700","BRCA2"
"701","BRCA2"
"702","BRCA2"
"703","BRCA2"
"704","BRCA2"
"705","BRCA2"
"706","BRCA2"
"707","BRCA2"
"708","BRCA2"
"709","BRCA2"
"710","BRCA2"
"711","BRCA2"
"712","BRCA2"
"713","BRCA2"
"714","BRCA2"
"715","BRCA2"
"716","BRCA2"
"717","BRCA2"
"718","BRCA2"
"719","BRCA2"
"720","BRCA2"
"721","BRCA2"
"722","BRCA2"
"723","BRCA2"
"724","BRCA2"
"725","BRCA2"
"726","BRCA2"
"727","BRCA2"
"728","BRCA2"
"729","BRCA2"
"730","BRCA2"
"731","BRCA2"
"732","BRCA2"
"733","BRCA2"
"734","BRCA2"
"735","BRCA2"
"736","BRCA2"
"737","BRCA2"
"738","BRCA2"
"739","BRCA2"
"740","BRCA2"
"741","BRCA2"
"742","BRCA2"
"743","BRCA2"
"744","BRCA2"
"745","BRCA2"
"746","BRCA2"
"747","BRCA2"
"748","BRCA2"
"749","BRCA2"
"750","BRCA2"
"751","BRCA2"
"752","BRCA2"
"753","BRCA2"
"754","BRCA2"
"755","BRCA2"
"756","BRCA2"
"757","BRCA2"
"758","BRCA2"
